--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:11:35.537  3844  3866 W TaintLog: libcore.os.send(47.91.160.116) received data with tag 0x421 data=[POST /xinyongjiu2015/tangtoys/devices HTTP/1.1..Content-Length: 217..Content-Type: text/plain; chars] 
07-07 03:11:37.654  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="cn.jpush.android.APPKEY]
07-07 03:11:37.693  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="cn.jpush.android.APPKEY]
07-07 03:11:37.794  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="cn.jpush.android.APPKEY]
07-07 03:11:38.451  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:11:38.498  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:11:38.990  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:11:39.060  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:11:39.802  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:11:39.841  3844  3872 W TaintLog: libcore.os.write(45) writing with tag 0x400 data[<?xml version='1.0' encoding='utf-8' standalone='yes' ?>.<map>.<string name="registration_id">0802d0]
07-07 03:12:03.068   416  1996 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:12:03.091   416  1996 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[alse}:.    mSession=Session{41545680 uid 10033} mClient=android.os.BinderProxy@411a1a88.    mAttrs=W]
07-07 03:12:03.255   416   749 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:12:03.271   416   749 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[alse}:.    mSession=Session{41545680 uid 10033} mClient=android.os.BinderProxy@411a1a88.    mAttrs=W]
07-07 03:12:03.466   416  1565 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:12:03.498   416  1565 W TaintLog: libcore.os.write(257) writing with tag 0x11 data[alse}:.    mSession=Session{41545680 uid 10033} mClient=android.os.BinderProxy@411a1a88.    mAttrs=W]
07-07 03:12:14.068   416   749 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:14.232   416   749 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:14.513   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:14.693   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:14.857   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:14.904   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:15.021   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:15.091   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:15.232   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:15.287   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:15.404   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:15.466   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
