--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:01:56.106  3862  9707 W TaintLog: libcore.os.write(40) writing with tag 0x31 data[<?xml version='1.0' encoding='UTF-8' standalone='yes' ?><hierarchy><node index="0" text="" class="an]
07-07 03:01:56.160  3862  9707 W TaintLog: libcore.os.write(40) writing with tag 0x31 data[<?xml version='1.0' encoding='UTF-8' standalone='yes' ?><hierarchy><node index="0" text="" class="an]
07-07 03:02:02.434  3862  9713 W TaintLog: libcore.os.write(40) writing with tag 0x31 data[<?xml version='1.0' encoding='UTF-8' standalone='yes' ?><hierarchy><node index="0" text="" class="an]
07-07 03:02:02.629   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:02:02.652   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ Requested w=720 h=1184 mLayoutSeq=1016.    mHasSurface=true mShownFrame=[0.0,0.0][720.0,1184.0].   ]
07-07 03:02:02.824   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:02:02.840   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ Requested w=720 h=1184 mLayoutSeq=1016.    mHasSurface=true mShownFrame=[0.0,0.0][720.0,1184.0].   ]
07-07 03:02:03.020   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[.WINDOW MANAGER LAST ANR (dumpsys window lastanr).  <no ANR has occurred since boot>..WINDOW MANAGER]
07-07 03:02:03.043   406   681 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ Requested w=720 h=1184 mLayoutSeq=1016.    mHasSurface=true mShownFrame=[0.0,0.0][720.0,1184.0].   ]
07-07 03:02:08.934   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:08.996   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:09.113   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:09.176   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:09.277   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:09.332   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:09.441   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:09.496   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:09.621   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:09.676   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:09.785   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:09.840   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:10.152   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:10.262   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:10.457   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:10.566   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:10.762   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:10.879   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:11.082   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:11.191   406  1753 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:11.379   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:11.496   406   660 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:11.723   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:11.926   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.012   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.051   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.121   406   681 W TaintLog: libcore.os.write(252) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.160   406   681 W TaintLog: libcore.os.write(252) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.223   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.262   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.332   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.371   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.449   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
